Date,FIPS,State,County,Confirmed,Recovered,Deaths,Population
3/10/2020,NA,Washington,NA,267,1,23,7614893
3/10/2020,NA,New York,NA,173,0,0,19453561
3/10/2020,NA,California,NA,144,2,2,39512223
3/10/2020,NA,Massachusetts,NA,92,1,0,6892503
3/10/2020,NA,Georgia,NA,17,0,0,10617423
3/10/2020,NA,Colorado,NA,15,0,0,5758736
3/10/2020,NA,Florida,NA,15,0,2,21477737
3/10/2020,NA,New Jersey,NA,15,0,1,8882190
3/10/2020,NA,Oregon,NA,15,0,0,4217737
3/10/2020,NA,Texas,NA,13,0,0,28995881
3/10/2020,NA,Illinois,NA,12,2,0,12671821
3/10/2020,NA,Pennsylvania,NA,12,0,0,12801989
3/10/2020,NA,Iowa,NA,8,0,0,3155070
3/10/2020,NA,Maryland,NA,8,0,0,6045680
3/10/2020,NA,North Carolina,NA,7,0,0,10488084
3/10/2020,NA,South Carolina,NA,7,0,0,5148714
3/10/2020,NA,Tennessee,NA,7,0,0,6829174
3/10/2020,NA,Virginia,NA,7,0,0,8535519
3/10/2020,NA,Arizona,NA,6,1,0,7278717
3/10/2020,NA,Indiana,NA,6,0,0,6732219
3/10/2020,NA,Kentucky,NA,6,0,0,4467673
3/10/2020,NA,District of Columbia,NA,5,0,0,705749
3/10/2020,NA,Nevada,NA,4,0,0,3080156
3/10/2020,NA,New Hampshire,NA,4,0,0,1359711
3/10/2020,NA,Minnesota,NA,3,0,0,5639632
3/10/2020,NA,Nebraska,NA,3,0,0,1934408
3/10/2020,NA,Ohio,NA,3,0,0,11689100
3/10/2020,NA,Rhode Island,NA,3,0,0,1059361
3/10/2020,NA,Wisconsin,NA,3,1,0,5822434
3/10/2020,NA,Connecticut,NA,2,0,0,3565278
3/10/2020,NA,Hawaii,NA,2,0,0,1415872
3/10/2020,NA,Oklahoma,NA,2,0,0,3956971
3/10/2020,NA,Utah,NA,2,0,0,3205958
3/10/2020,NA,Kansas,NA,1,0,0,2913314
3/10/2020,NA,Louisiana,NA,1,0,0,4648794
3/10/2020,NA,Missouri,NA,1,0,0,6137428
3/10/2020,NA,Vermont,NA,1,0,0,623989
3/10/2020,NA,Alaska,NA,0,0,0,731545
3/10/2020,NA,Arkansas,NA,0,0,0,3017804
3/10/2020,NA,Delaware,NA,0,0,0,973764
3/10/2020,NA,Idaho,NA,0,0,0,1787065
3/10/2020,NA,Maine,NA,0,0,0,1344212
3/10/2020,NA,Michigan,NA,0,0,0,9986857
3/10/2020,NA,Mississippi,NA,0,0,0,2976149
3/10/2020,NA,Montana,NA,0,0,0,1068778
3/10/2020,NA,New Mexico,NA,0,0,0,2096829
3/10/2020,NA,North Dakota,NA,0,0,0,762062
3/10/2020,NA,South Dakota,NA,0,0,0,884659
3/10/2020,NA,West Virginia,NA,0,0,0,1792147
3/10/2020,NA,Wyoming,NA,0,0,0,578759
3/11/2020,NA,Washington,NA,366,1,29,7614893
3/11/2020,NA,New York,NA,220,0,0,19453561
3/11/2020,NA,California,NA,177,2,3,39512223
3/11/2020,NA,Massachusetts,NA,95,1,0,6892503
3/11/2020,NA,Colorado,NA,34,0,0,5758736
3/11/2020,NA,Florida,NA,28,0,2,21477737
3/11/2020,NA,Illinois,NA,25,2,0,12671821
3/11/2020,NA,Georgia,NA,23,0,0,10617423
3/11/2020,NA,New Jersey,NA,23,0,1,8882190
3/11/2020,NA,Texas,NA,21,0,0,28995881
3/11/2020,NA,Oregon,NA,19,0,0,4217737
3/11/2020,NA,Pennsylvania,NA,16,0,0,12801989
3/11/2020,NA,Iowa,NA,13,0,0,3155070
3/11/2020,NA,Indiana,NA,11,0,0,6732219
3/11/2020,NA,District of Columbia,NA,10,0,0,705749
3/11/2020,NA,South Carolina,NA,10,0,0,5148714
3/11/2020,NA,Arizona,NA,9,1,0,7278717
3/11/2020,NA,Maryland,NA,9,0,0,6045680
3/11/2020,NA,Tennessee,NA,9,0,0,6829174
3/11/2020,NA,Virginia,NA,9,0,0,8535519
3/11/2020,NA,Kentucky,NA,8,0,0,4467673
3/11/2020,NA,South Dakota,NA,8,0,1,884659
3/11/2020,NA,Nevada,NA,7,0,0,3080156
3/11/2020,NA,North Carolina,NA,7,0,0,10488084
3/11/2020,NA,Louisiana,NA,6,0,0,4648794
3/11/2020,NA,Wisconsin,NA,6,1,0,5822434
3/11/2020,NA,Minnesota,NA,5,0,0,5639632
3/11/2020,NA,Nebraska,NA,5,0,0,1934408
3/11/2020,NA,New Hampshire,NA,5,0,0,1359711
3/11/2020,NA,Rhode Island,NA,5,0,0,1059361
3/11/2020,NA,Ohio,NA,4,0,0,11689100
3/11/2020,NA,Connecticut,NA,3,0,0,3565278
3/11/2020,NA,New Mexico,NA,3,0,0,2096829
3/11/2020,NA,Utah,NA,3,0,0,3205958
3/11/2020,NA,Hawaii,NA,2,0,0,1415872
3/11/2020,NA,Michigan,NA,2,0,0,9986857
3/11/2020,NA,Oklahoma,NA,2,0,0,3956971
3/11/2020,NA,Arkansas,NA,1,0,0,3017804
3/11/2020,NA,Delaware,NA,1,0,0,973764
3/11/2020,NA,Kansas,NA,1,0,0,2913314
3/11/2020,NA,Missouri,NA,1,0,0,6137428
3/11/2020,NA,Montana,NA,1,0,0,1068778
3/11/2020,NA,Vermont,NA,1,0,0,623989
3/11/2020,NA,Alaska,NA,0,0,0,731545
3/11/2020,NA,Idaho,NA,0,0,0,1787065
3/11/2020,NA,Maine,NA,0,0,0,1344212
3/11/2020,NA,Mississippi,NA,0,0,0,2976149
3/11/2020,NA,North Dakota,NA,0,0,0,762062
3/11/2020,NA,West Virginia,NA,0,0,0,1792147
3/11/2020,NA,Wyoming,NA,0,0,0,578759
3/12/2020,NA,Washington,NA,442,1,31,7614893
3/12/2020,NA,New York,NA,328,0,0,19453561
3/12/2020,NA,California,NA,221,6,4,39512223
3/12/2020,NA,Massachusetts,NA,108,1,0,6892503
3/12/2020,NA,Colorado,NA,45,0,0,5758736
3/12/2020,NA,Florida,NA,35,0,2,21477737
3/12/2020,NA,Illinois,NA,32,2,0,12671821
3/12/2020,NA,Georgia,NA,31,0,1,10617423
3/12/2020,NA,New Jersey,NA,29,0,1,8882190
3/12/2020,NA,Texas,NA,27,0,0,28995881
3/12/2020,NA,Oregon,NA,24,0,0,4217737
3/12/2020,NA,Pennsylvania,NA,22,0,0,12801989
3/12/2020,NA,Louisiana,NA,19,0,0,4648794
3/12/2020,NA,Tennessee,NA,18,0,0,6829174
3/12/2020,NA,Virginia,NA,17,0,0,8535519
3/12/2020,NA,Iowa,NA,16,0,0,3155070
3/12/2020,NA,North Carolina,NA,15,0,0,10488084
3/12/2020,NA,Nevada,NA,14,0,0,3080156
3/12/2020,NA,Indiana,NA,13,0,0,6732219
3/12/2020,NA,Maryland,NA,12,0,0,6045680
3/12/2020,NA,South Carolina,NA,12,0,0,5148714
3/12/2020,NA,District of Columbia,NA,10,0,0,705749
3/12/2020,NA,Kentucky,NA,10,0,0,4467673
3/12/2020,NA,Nebraska,NA,10,0,0,1934408
3/12/2020,NA,Arizona,NA,9,1,0,7278717
3/12/2020,NA,Minnesota,NA,9,0,0,5639632
3/12/2020,NA,South Dakota,NA,8,0,1,884659
3/12/2020,NA,Wisconsin,NA,8,1,0,5822434
3/12/2020,NA,Arkansas,NA,6,0,0,3017804
3/12/2020,NA,New Hampshire,NA,6,0,0,1359711
3/12/2020,NA,Connecticut,NA,5,0,0,3565278
3/12/2020,NA,New Mexico,NA,5,0,0,2096829
3/12/2020,NA,Ohio,NA,5,0,0,11689100
3/12/2020,NA,Rhode Island,NA,5,0,0,1059361
3/12/2020,NA,Utah,NA,5,0,0,3205958
3/12/2020,NA,Hawaii,NA,2,0,0,1415872
3/12/2020,NA,Michigan,NA,2,0,0,9986857
3/12/2020,NA,Oklahoma,NA,2,0,0,3956971
3/12/2020,NA,Vermont,NA,2,0,0,623989
3/12/2020,NA,Delaware,NA,1,0,0,973764
3/12/2020,NA,Kansas,NA,1,0,0,2913314
3/12/2020,NA,Mississippi,NA,1,0,0,2976149
3/12/2020,NA,Missouri,NA,1,0,0,6137428
3/12/2020,NA,Montana,NA,1,0,0,1068778
3/12/2020,NA,North Dakota,NA,1,0,0,762062
3/12/2020,NA,Wyoming,NA,1,0,0,578759
3/12/2020,NA,Alaska,NA,0,0,0,731545
3/12/2020,NA,Idaho,NA,0,0,0,1787065
3/12/2020,NA,Maine,NA,0,0,0,1344212
3/12/2020,NA,West Virginia,NA,0,0,0,1792147
3/13/2020,NA,Alabama,NA,5,0,0,4903185
3/13/2020,NA,Alaska,NA,1,0,0,731545
3/13/2020,NA,Arizona,NA,9,1,0,7278717
3/13/2020,NA,Arkansas,NA,6,0,0,3017804
3/13/2020,NA,California,NA,282,6,4,39512223
3/13/2020,NA,Colorado,NA,49,0,0,5758736
3/13/2020,NA,Connecticut,NA,11,0,0,3565278
3/13/2020,NA,Delaware,NA,4,0,0,973764
3/13/2020,NA,District of Columbia,NA,10,0,0,705749
3/13/2020,NA,Florida,NA,50,0,2,21477737
3/13/2020,NA,Georgia,NA,42,0,1,10617423
3/13/2020,NA,Hawaii,NA,2,0,0,1415872
3/13/2020,NA,Idaho,NA,1,0,0,1787065
